radius_tier,visibility,map,mode,complete,contact_events,static_clearance_m,mission_time_s,probe_seen,probe_progress_m,probe_distance_m,probe_center_in_sector,effective_full_opens,trajectory_guard_opens,planner_ingress_mib_s,map_compute_ms_per_frame,end_to_end_cores_mean,end_to_end_core_s
1,nom,occ_p_r1_nom,full,1,0,0.244,58.6,,,,,0,0,5.100325398884536,29.591494085667215,1.4970409829727926,91.108477
1,nom,occ_p_r1_nom,sector,1,0,0.295,60.91,1,11.47845,15.109191,1,0,0,1.3364257336523984,8.823644104595878,1.3072668883882221,82.405737
1,nom,occ_p_r1_nom,adaptive,1,0,0.249,58.11,1,11.458741,15.207229,1,23,3,1.0772381442648842,18.3726393516129,1.373818110804359,82.011641
1,occ,occ_p_r1_occ,full,1,0,0.293,59.62,,,,,0,0,5.331863248480202,34.464341407528636,1.5600388157776937,95.623572
1,occ,occ_p_r1_occ,sector,1,0,0.263,60.49,1,20.767902,3.31845,0,0,0,1.4395077655405657,8.767771096774194,1.3230928924386398,81.982354
1,occ,occ_p_r1_occ,adaptive,1,0,0.26,58.31,1,14.462102,11.148661,1,24,2,1.064546519989134,18.065188382838286,1.3707313475973935,82.418526
2,nom,occ_p_r2_nom,full,1,0,0.242,56.07,,,,,0,0,6.856987730202794,42.770350774526676,1.6948432060136394,98.883809
2,nom,occ_p_r2_nom,sector,1,0,0.388,58.38,1,11.221736,15.17756,1,0,0,1.6918760654492588,10.902586272878537,1.345194810815506,80.757954
2,nom,occ_p_r2_nom,adaptive,1,0,0.33,55.86,1,11.052832,15.41396,1,21,1,1.4763033436994761,20.01146658753709,1.3919433669927548,80.551075
2,occ,occ_p_r2_occ,full,1,0,0.29,59.18,,,,,0,0,6.8211744346502625,41.651470462046206,1.660520115459541,101.581852
2,occ,occ_p_r2_occ,sector,1,0,0.27,56.59,1,20.928508,3.232545,0,0,0,1.8992992777941524,11.374786465517241,1.3887320536030863,80.395369
2,occ,occ_p_r2_occ,adaptive,1,0,0.222,57.07,1,20.676248,3.608609,0,23,1,1.5490847918956778,19.811265771604937,1.400650382350011,82.500231
3,nom,occ_p_r3_nom,full,1,0,0.189,60.03,,,,,0,0,8.523658861741412,46.858331774193545,1.723364946231629,107.370853
3,nom,occ_p_r3_nom,sector,1,0,0.25,63.67,1,11.362561,15.307315,1,0,0,2.4563945292752485,12.579687347560975,1.3128015191371907,85.973073
3,nom,occ_p_r3_nom,adaptive,1,0,0.285,57.9,1,11.414943,15.230706,1,22,2,1.8263010081026014,23.377629968152867,1.4029485891616618,84.097988
3,occ,occ_p_r3_occ,full,1,0,0.213,62.19,,,,,0,0,8.811155264928498,46.62948215962441,1.6905955857879071,109.147633
3,occ,occ_p_r3_occ,sector,1,0,0.284,63.71,1,20.470892,3.737499,0,0,0,2.5151839081897895,12.008130106870228,1.3290820233547855,86.997261
3,occ,occ_p_r3_occ,adaptive,1,0,0.295,63.79,1,20.247712,4.7262,0,25,3,2.088444493448198,22.921564854881264,1.4345453027878907,94.032887
4,nom,occ_p_r4_nom,full,1,0,0.251,76.64,,,,,0,0,10.51018486938795,43.721756466069145,1.6261403435441344,127.799702
4,nom,occ_p_r4_nom,sector,1,0,0.284,70.35,1,11.096232,15.199619,0,0,0,3.187219962721271,11.954503630041726,1.311424372170838,94.196595
4,nom,occ_p_r4_nom,adaptive,1,0,0.273,69.41,1,10.908048,15.464237,1,23,4,3.0378976724896956,23.276723303370787,1.4306069006760027,102.45394
4,occ,occ_p_r4_occ,full,1,0,0.267,68.15,,,,,0,0,10.619997205055554,44.39212586705202,1.6560693857629334,115.733366
4,occ,occ_p_r4_occ,sector,1,0,0.199,71.13,1,13.815338,11.431834,0,0,0,3.0483364908064736,12.339835424657533,1.322605598538803,96.452883
4,occ,occ_p_r4_occ,adaptive,1,0,0.222,69.29,1,20.842736,3.232105,0,19,5,2.5685887743442977,25.905941607142857,1.3660011852765732,96.741835
5,nom,occ_p_r5_nom,full,1,0,0.277,82.24,,,,,0,0,12.501015157551153,41.891797108433735,1.5876599117328758,133.486778
5,nom,occ_p_r5_nom,sector,1,0,0.265,80.57,1,11.833513,14.923161,1,0,0,4.0266423570439525,11.236156037575757,1.2877901113041006,106.170926
5,nom,occ_p_r5_nom,adaptive,1,0,0.217,75.09,1,11.435482,15.549462,1,22,7,3.4753327998995607,27.10242396313364,1.4163365607533451,109.201828
5,occ,occ_p_r5_occ,full,1,0,0.239,95.02,,,,,0,0,12.957409220578871,40.740182359081416,1.5341986025240513,148.539479
5,occ,occ_p_r5_occ,sector,1,0,0.278,96.67,1,12.042238,13.729219,0,0,0,4.34783484901972,10.97606088324873,1.2302584006746848,121.10134
5,occ,occ_p_r5_occ,adaptive,1,0,0.295,82.45,1,20.059334,4.539609,0,21,7,3.496177099631583,26.290326545842216,1.3383595134238877,113.231296
