elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3171052,3147790,0,5858248,1491748,10642600,688548,0.18,0.18
1.099,3172780,3148533,0,5783476,1491748,10688468,688548,0.14,0.14
2.141,3179772,3155306,0,5683624,1491748,10712504,688548,0.14,0.14
3.177,3182888,3158417,0,5783784,1491748,10635128,688548,0.12,0.12
4.23,3187512,3163041,0,5776088,1491748,10640172,688548,0.12,0.12
5.273,3190624,3166154,0,5774680,1491748,10643648,688548,0.09,0.09
6.316,3196488,3172022,0,5766268,1491748,10649912,688548,0.09,0.09
7.358,3213024,3188554,0,5745312,1491748,10666712,688548,0.08,0.08
8.4,3219040,3194570,0,5739312,1491748,10673116,688548,0.08,0.08
9.432,3220572,3196161,0,5739404,1491748,10676196,688548,0.06,0.06
10.475,3222340,3197868,0,5740152,1491748,10677420,688548,0.06,0.06
11.595,3222340,3197870,0,5736476,1491748,10677504,688548,0.05,0.05
12.626,3222388,3198778,0,5778460,1491748,10636660,688548,0.05,0.05
12.657,3222388,3198778,0,5778460,1491748,10636972,688548,0.05,0.05
