Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0750776, 0.0602171, 0.0148594, 0.00850533, 20474, 46904, 863091, 655168, 32
0.0178562, 0.0123059, 0.00554866, 0.00087189, 20415, 46825, 94095, 653280, 32
0.0173814, 0.0114702, 0.00590924, 0.00145156, 20431, 46746, 175521, 653792, 32
0.0158966, 0.0119284, 0.0039664, 0.000186592, 20383, 46792, 13653, 652256, 32
0.015067, 0.0112381, 0.00382733, 0.000170022, 20390, 46683, 9840, 652480, 32
0.0741401, 0.0558351, 0.0183032, 0.00395894, 20465, 46802, 32841, 654880, 32
0.023855, 0.0199485, 0.00390489, 0, 20462, 46763, 0, 654784, 32
0.0195874, 0.0157513, 0.00383482, 0.000309633, 20432, 46772, 21771, 653824, 32
0.0156109, 0.0123715, 0.00323872, 0, 20460, 46705, 0, 654720, 32
0.0149043, 0.0118676, 0.00303557, 0, 20462, 46699, 0, 654784, 32
0.0184303, 0.0147687, 0.00365987, 4.095e-06, 20457, 46781, 123, 654624, 32
0.0168876, 0.0135572, 0.00332949, 0, 20462, 46699, 0, 654784, 32
0.0158066, 0.0128097, 0.00299564, 0, 20383, 46792, 0, 652256, 32
0.0171726, 0.014152, 0.00301953, 0, 20426, 46741, 0, 653632, 32
0.0159237, 0.0128115, 0.00311125, 0, 20421, 46813, 0, 653472, 32
0.0162679, 0.0132077, 0.00305892, 3.641e-06, 20435, 46777, 123, 653920, 32
0.0156265, 0.0125911, 0.00303393, 0, 20392, 46717, 0, 652544, 32
0.0207362, 0.0145954, 0.00613958, 0.00180178, 25283, 51869, 212667, 809056, 32
0.0245781, 0.017084, 0.00749222, 0.00192733, 24673, 53014, 153750, 789536, 32
0.0218057, 0.0159013, 0.00590324, 0.00122461, 24130, 53363, 127920, 772160, 32
0.0236808, 0.0178394, 0.00584041, 0.00123185, 24567, 53742, 132225, 786144, 32
0.0222905, 0.0159618, 0.00632746, 0.00126362, 25746, 55485, 127551, 823872, 32
0.0246021, 0.017782, 0.0068191, 0.00141749, 28331, 57599, 135177, 906592, 32
0.0254924, 0.0184214, 0.00707015, 0.00164698, 49827, 60414, 182655, 1.59446e+06, 32
0.0251184, 0.0184511, 0.00666602, 0.00184598, 55522, 62697, 229395, 1.7767e+06, 32
0.0244397, 0.0173683, 0.00707042, 0.00187233, 42316, 63637, 204303, 1.35411e+06, 32
0.0235144, 0.0166234, 0.00688982, 0.00143577, 50601, 63089, 154365, 1.61923e+06, 32
0.020785, 0.0147502, 0.00603321, 0.000951827, 54982, 61960, 98892, 1.75942e+06, 32
0.0212766, 0.0154735, 0.0058021, 0.00101164, 56723, 63745, 110700, 1.81514e+06, 32
0.0251004, 0.0185347, 0.00656433, 0.00112991, 50701, 65491, 130872, 1.62243e+06, 32
0.0209464, 0.0151816, 0.00576332, 0.000594715, 43722, 61603, 53505, 1.3991e+06, 32
0.0205604, 0.0155331, 0.00502604, 0.000436285, 41775, 60802, 40590, 1.3368e+06, 32
0.0152322, 0.011678, 0.0035528, 0.000286641, 41456, 59893, 34317, 1.32659e+06, 32
0.017609, 0.01326, 0.00434808, 0.000293229, 41400, 59580, 26322, 1.3248e+06, 32
0.0180042, 0.0135398, 0.00446317, 0.000275659, 41450, 59531, 22878, 1.3264e+06, 32
0.0213755, 0.0157597, 0.00561467, 0.000471297, 47092, 66835, 42681, 1.50694e+06, 32
