elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3171008,3147448,0,6535780,1492820,9822128,688548,0.0,0.0
1.033,3172956,3148490,0,6491824,1492820,9864976,688548,0.0,0.0
2.082,3179336,3154623,0,6404604,1492820,9892868,688548,0.0,0.0
3.117,3182528,3157816,0,6372336,1492820,9881744,688548,0.0,0.0
4.166,3189064,3164345,0,6389892,1492820,9889616,688548,0.0,0.0
5.204,3190320,3165600,0,6404012,1492820,9889780,688548,0.0,0.0
6.239,3199368,3174648,0,6400740,1492820,9899064,688548,0.0,0.0
7.289,3212724,3188005,0,6397996,1492820,9913352,688548,0.0,0.0
8.34,3215592,3190873,0,6397360,1492820,9915988,688548,0.0,0.0
9.389,3220856,3196137,0,6413112,1492820,9920112,688548,0.0,0.0
10.44,3221256,3196537,0,6422068,1492820,9921660,688548,0.0,0.0
11.492,3221204,3197358,0,6457404,1492820,9881224,688548,0.0,0.0
11.535,3221204,3197358,0,6457304,1492820,9880608,688548,0.0,0.0
