Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0135821, 0.00629385, 0.00728709, 0.00470658, 3783, 25754, 341694, 75660, 20
0.0122788, 0.00878579, 0.00349151, 0.000994816, 3779, 25465, 127428, 75580, 20
0.0103658, 0.00818044, 0.00218337, 8.9075e-05, 3778, 25638, 6519, 75560, 20
0.0104509, 0.00748092, 0.00296852, 0.000616473, 3774, 25686, 72939, 75480, 20
0.0102635, 0.00754645, 0.00271573, 0.000403265, 3780, 25697, 35670, 75600, 20
0.008691, 0.00657777, 0.00211214, 0, 3780, 25492, 0, 75600, 20
0.00824054, 0.00618879, 0.00204998, 0, 3778, 25741, 0, 75560, 20
0.00778845, 0.00557679, 0.00220975, 0, 3778, 25603, 0, 75560, 20
0.00779354, 0.0056896, 0.00210247, 0, 3779, 25652, 0, 75580, 20
0.03025, 0.0243863, 0.00586184, 0, 3778, 25686, 0, 75560, 20
0.00907691, 0.00688216, 0.00219225, 0, 3781, 25741, 0, 75620, 20
0.00745972, 0.00554468, 0.00191406, 0, 3779, 25639, 0, 75580, 20
0.008195, 0.00593241, 0.00226084, 9.7875e-05, 3777, 25624, 5043, 75540, 20
0.00981649, 0.00584633, 0.0039687, 0.0013409, 3871, 28148, 154734, 77420, 20
0.0125314, 0.00918656, 0.00334336, 0.000917195, 3794, 27971, 105903, 75880, 20
0.00838645, 0.00543786, 0.00294756, 0.000630664, 4016, 27315, 57318, 80320, 20
0.00641558, 0.00430176, 0.00211264, 0.000563177, 5475, 24005, 57441, 109500, 20
0.00752297, 0.00449252, 0.00302915, 0.00123319, 34668, 23262, 152643, 693360, 20
0.00927548, 0.00701735, 0.00225675, 0.000578964, 41123, 27159, 62238, 822460, 20
0.00843839, 0.00665662, 0.00178058, 0.000269609, 41008, 27205, 22017, 820160, 20
0.0106638, 0.00832914, 0.0023328, 0.000379564, 41101, 26831, 28905, 822020, 20
0.0108365, 0.00899641, 0.0018385, 0.000306817, 40968, 27192, 30627, 819360, 20
0.00735238, 0.00515831, 0.00219305, 0.000263284, 27297, 25392, 25584, 545940, 20
0.00991613, 0.00804897, 0.00186609, 8.1287e-05, 27298, 25510, 4305, 545960, 20
0.00957979, 0.00749814, 0.00208059, 0.000259567, 27330, 25670, 21648, 546600, 20
0.00679396, 0.00509513, 0.00169799, 9.1594e-05, 27342, 25576, 8118, 546840, 20
0.00619983, 0.00478234, 0.00141634, 7.3377e-05, 27350, 25623, 5289, 547000, 20
0.00692527, 0.00523003, 0.00169396, 4.198e-06, 27350, 25634, 123, 547000, 20
0.00704114, 0.00532725, 0.00171302, 2.4917e-05, 27303, 25389, 984, 546060, 20
0.00448577, 0.0033193, 0.00116571, 0.000199495, 27696, 11783, 13899, 553920, 20
0.00805387, 0.00559422, 0.00245882, 0.000462854, 26288, 22909, 43173, 525760, 20
0.00978366, 0.00674491, 0.00303748, 0.000612972, 23817, 28245, 56703, 476340, 20
0.0090458, 0.00632999, 0.00271464, 0.00056221, 20656, 26429, 45264, 413120, 20
0.00820758, 0.00536241, 0.00284417, 0.000646131, 18100, 22504, 60885, 362000, 20
0.0101417, 0.00644367, 0.00369681, 0.00103873, 18208, 28446, 110208, 364160, 20
0.00890167, 0.00570746, 0.00319314, 0.000789112, 18262, 25798, 70971, 365240, 20
0.00872574, 0.00562412, 0.00310071, 0.000761274, 14062, 24695, 71340, 281240, 20
0.0068862, 0.00447938, 0.00240548, 0.000667335, 13823, 18735, 62607, 276460, 20
0.00523247, 0.00396604, 0.00126371, 0.000310574, 16598, 10754, 32349, 331960, 20
0.00408704, 0.0031793, 0.000906536, 0.000243506, 22753, 9590, 34317, 455060, 20
0.00471087, 0.00338901, 0.00132078, 0.000606149, 36662, 8879, 94464, 733240, 20
