Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0145016, 0.0068591, 0.00764132, 0.00480507, 3783, 25754, 341694, 75660, 20
0.00955489, 0.00622159, 0.00333202, 0.000963375, 3779, 25465, 127428, 75580, 20
0.0112228, 0.00883216, 0.00238911, 9.8892e-05, 3778, 25638, 6519, 75560, 20
0.0147178, 0.0115172, 0.00319866, 0.000693522, 3774, 25686, 72939, 75480, 20
0.00921157, 0.00622426, 0.00298586, 0.00043326, 3780, 25697, 35670, 75600, 20
0.00613834, 0.00470195, 0.00143559, 0, 3780, 25492, 0, 75600, 20
0.00768036, 0.00554334, 0.00213563, 0, 3778, 25741, 0, 75560, 20
0.00810563, 0.00601665, 0.00208778, 0, 3778, 25603, 0, 75560, 20
0.00712484, 0.00519954, 0.0019235, 0, 3779, 25652, 0, 75580, 20
0.00797846, 0.00589616, 0.0020807, 0, 3778, 25686, 0, 75560, 20
0.0279757, 0.0212775, 0.00669672, 0, 3781, 25741, 0, 75620, 20
0.00950908, 0.00731406, 0.00219296, 0, 3779, 25639, 0, 75580, 20
0.00891481, 0.00669433, 0.00221886, 9.6224e-05, 3777, 25624, 5043, 75540, 20
0.0108733, 0.00657001, 0.00430208, 0.00145615, 3871, 28148, 154734, 77420, 20
0.0091941, 0.00563159, 0.0035616, 0.000922022, 3793, 27964, 105165, 75860, 20
0.0085134, 0.0055945, 0.00291794, 0.00059883, 4016, 27318, 56949, 80320, 20
0.00892336, 0.00654086, 0.00238114, 0.000573882, 5476, 23976, 57318, 109520, 20
0.00830819, 0.00484345, 0.00346362, 0.00128956, 34636, 23295, 153627, 692720, 20
0.0103579, 0.00814991, 0.00220608, 0.000564372, 38920, 25308, 60393, 778400, 20
0.0120473, 0.0098142, 0.002231, 0.0003527, 38775, 25436, 22755, 775500, 20
0.0127239, 0.0101654, 0.00253684, 0.000402422, 38959, 25221, 26691, 779180, 20
0.00774316, 0.00532363, 0.00241799, 0.000309137, 25479, 23891, 31242, 509580, 20
