elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3272756,3248847,0,6520008,1492820,9820888,688548,0.0,0.0
1.132,3289788,3263930,0,6437900,1492820,9874840,688548,0.0,0.0
2.173,3297780,3272154,0,6426816,1492820,9882504,688548,0.0,0.0
3.215,3307244,3281642,0,6424060,1492820,9891112,688548,0.0,0.0
4.256,3311284,3285419,0,6421548,1492820,9894572,688548,0.0,0.0
5.31,3462424,3436558,0,6267976,1492820,10047068,688548,0.0,0.0
6.363,3474660,3448794,0,6261888,1492820,10058516,688548,0.0,0.0
7.417,3480584,3454719,0,6258360,1492820,10065064,688548,0.0,0.0
8.474,3493764,3467898,0,6244972,1492820,10079144,688548,0.0,0.0
9.51,3502808,3476942,0,6232008,1492820,10086940,688548,0.0,0.0
10.55,3503892,3478026,0,6230004,1492820,10087548,688548,0.0,0.0
11.688,3503892,3478026,0,6229264,1492820,10088520,688548,0.0,0.0
12.736,3503840,3479621,0,6265832,1492820,10047900,688548,0.0,0.0
12.769,3503840,3479621,0,6265832,1492820,10047984,688548,0.0,0.0
