elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169988,3146770,0,6547668,1492820,9820512,688548,0.0,0.0
1.148,3172296,3148093,0,6451376,1492820,9868248,688548,0.0,0.0
2.203,3178072,3153672,0,6369136,1492820,9878984,688548,0.0,0.0
3.256,3182720,3158506,0,6413252,1492820,9890384,688548,0.0,0.0
4.306,3187028,3162627,0,6432880,1492820,9901564,688548,0.0,0.0
5.361,3187432,3163028,0,6438864,1492820,9909400,688548,0.0,0.0
6.413,3192700,3168285,0,6442556,1492820,9914144,688548,0.0,0.0
7.469,3200304,3175887,0,6447180,1492820,9923104,688548,0.0,0.0
8.522,3204408,3179990,0,6442424,1492820,9927676,688548,0.0,0.0
9.577,3209644,3185275,0,6432368,1492820,9934752,688548,0.0,0.0
10.633,3219760,3195343,0,6413256,1492820,9944748,688548,0.0,0.0
11.758,3228392,3203975,0,6415080,1492820,9954428,688548,0.0,0.0
12.811,3235060,3210643,0,6416528,1492820,9960088,688548,0.0,0.0
13.865,3235060,3210643,0,6418716,1492820,9960024,688548,0.0,0.0
14.919,3235060,3210643,0,6424500,1492820,9960216,688548,0.0,0.0
15.974,3235008,3211513,0,6462732,1492820,9919776,688548,0.0,0.0
16.02,3235008,3211513,0,6461688,1492820,9920248,688548,0.0,0.0
