Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0141529, 0.00650771, 0.00764394, 0.00488676, 3779, 25465, 339849, 75580, 20
0.0112151, 0.0080395, 0.0031742, 0.000795732, 3774, 25686, 100614, 75480, 20
0.0104958, 0.00751553, 0.00297875, 0, 3780, 25492, 0, 75600, 20
0.0117329, 0.00779077, 0.00394065, 0.00120021, 3778, 25603, 108363, 75560, 20
0.00794756, 0.00592801, 0.00201809, 0, 3778, 25686, 0, 75560, 20
0.0174193, 0.0135885, 0.00382899, 0.000491682, 3779, 25639, 27183, 75580, 20
0.0083177, 0.0059209, 0.00239528, 0, 3778, 25573, 0, 75560, 20
0.0117039, 0.00754315, 0.00415895, 0.00138298, 3850, 28096, 154857, 77000, 20
0.0241629, 0.0128608, 0.0112998, 0.00468292, 23557, 50007, 584988, 753824, 32
0.0162336, 0.010966, 0.00526595, 0.000925002, 15892, 45259, 93726, 317840, 20
0.0177052, 0.010975, 0.0067282, 0.00137588, 28848, 48120, 144648, 576960, 20
0.0174552, 0.0118538, 0.00559959, 0.000963448, 35325, 48881, 102213, 706500, 20
0.0149511, 0.0108214, 0.00412819, 0.000480629, 22196, 46040, 45018, 443920, 20
0.0154248, 0.0103406, 0.00508232, 0.000408366, 20981, 45425, 32964, 419620, 20
0.0139325, 0.00988024, 0.00405079, 0.000338597, 20980, 45337, 26691, 419600, 20
0.0133292, 0.00999501, 0.00333267, 0.000101762, 20976, 45361, 5904, 419520, 20
0.0120794, 0.00859401, 0.00348421, 0.000207927, 20985, 45565, 14145, 419700, 20
0.0180699, 0.0123719, 0.00569662, 0.00127238, 24794, 49303, 174168, 495880, 20
0.0189039, 0.013255, 0.0056473, 0.000950557, 25730, 54260, 90528, 514600, 20
0.0264154, 0.0198406, 0.00657279, 0.0014362, 29794, 54624, 145755, 595880, 20
0.0188937, 0.0118082, 0.0070841, 0.00172037, 48327, 55511, 207009, 966540, 20
0.0189744, 0.0125617, 0.00641085, 0.00146863, 55146, 57930, 158793, 1.10292e+06, 20
0.0219674, 0.0145577, 0.00740858, 0.00174974, 47226, 61864, 205656, 944520, 20
0.0233998, 0.0156179, 0.00778005, 0.00140817, 41690, 60024, 151536, 833800, 20
0.0189588, 0.0118155, 0.00714159, 0.000966538, 42944, 57716, 93849, 858880, 20
0.0194909, 0.0121638, 0.00732525, 0.00066355, 42902, 57387, 62853, 858040, 20
0.0173772, 0.011716, 0.00565977, 0.00041645, 42891, 56967, 35301, 857820, 20
0.0217959, 0.0147583, 0.00703657, 0.00100196, 50829, 64048, 116727, 1.01658e+06, 20
0.0266738, 0.0176609, 0.00901116, 0.00226443, 44299, 69625, 300858, 885980, 20
0.0250231, 0.0156151, 0.00940606, 0.00131455, 37070, 67806, 128781, 741400, 20
0.0244836, 0.0159861, 0.0084963, 0.00142587, 31301, 66724, 148461, 626020, 20
0.0248397, 0.015831, 0.00900769, 0.00233302, 44819, 69881, 295692, 896380, 20
0.026757, 0.0164999, 0.0102556, 0.00268459, 45554, 92949, 273675, 911080, 20
0.00710932, 0.00459495, 0.0025135, 0.000577534, 45975, 21256, 62484, 919500, 20
0.0068503, 0.0047846, 0.00206426, 0.000280915, 37502, 19784, 27060, 750040, 20
0.0201126, 0.0129118, 0.00719912, 0.00143896, 43223, 55659, 135915, 864460, 20
0.0235737, 0.0153426, 0.00822986, 0.00157642, 43137, 65224, 160146, 862740, 20
0.0204202, 0.0122282, 0.00819056, 0.0015921, 28649, 63779, 157071, 572980, 20
0.019721, 0.0124789, 0.00724085, 0.00218054, 31263, 66468, 199752, 625260, 20
0.0169959, 0.00969469, 0.00729998, 0.00246305, 30216, 50895, 238989, 604320, 20
0.0181401, 0.0095623, 0.00857658, 0.00326641, 27150, 36592, 321030, 543000, 20
0.0427694, 0.0276356, 0.0151318, 0.00336454, 44001, 102216, 362112, 880020, 20
0.0287674, 0.015405, 0.0133609, 0.00216023, 40854, 88671, 249567, 817080, 20
0.0205766, 0.0122657, 0.00830901, 0.000911792, 38831, 78944, 92496, 776620, 20
0.0043067, 0.00342189, 0.00088411, 0.000134157, 32913, 10005, 13038, 658260, 20
0.00412234, 0.00330318, 0.000818149, 8.7677e-05, 32881, 9975, 6150, 657620, 20
0.00404617, 0.00331851, 0.000726543, 5.5729e-05, 32890, 10000, 2583, 657800, 20
0.0274666, 0.0178325, 0.00963292, 0.00070957, 44597, 82971, 67404, 1.4271e+06, 32
0.022886, 0.0156597, 0.00722406, 0.000332644, 38869, 79410, 21279, 777380, 20
0.022272, 0.0154952, 0.00677508, 0.000398381, 38912, 77742, 30012, 778240, 20
0.00396848, 0.00341121, 0.000555419, 0, 32855, 9926, 0, 657100, 20
0.0226688, 0.0159985, 0.00666843, 7.5226e-05, 38864, 78443, 3075, 777280, 20
0.0266956, 0.0175605, 0.00913348, 0.000932647, 60534, 90228, 110946, 1.21068e+06, 20
0.0100132, 0.007467, 0.00254516, 0.000503271, 45798, 23075, 63591, 915960, 20
