elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.2e-05,0,398,,,True,1,5,3171136,3147830,0,3412656,3329374,0
1.095544,487342,696954,0.44486153008876145,0.6358388317701066,False,1,5,3171136,3147830,0,3412656,3329374,0
2.132341,1160932,1693068,0.6496838685579409,0.9607612895748523,False,1,5,3171136,3147830,0,3412656,3329374,0
3.184102,1732477,2540566,0.5434169728964569,0.8057892164148079,False,1,5,3171136,3147830,0,3412656,3329374,0
4.225446,1982458,3068585,0.24005599737552394,0.5070550468964713,False,1,5,3171136,3147830,0,3412656,3329374,0
5.27548,3019647,4327739,0.9877670354987959,1.1991554227980157,False,1,5,3171136,3147830,0,3412656,3329374,0
6.316749,3778182,5324326,0.7284723618023485,0.957089765971929,False,1,5,3171136,3147830,0,3412656,3329374,0
7.362581,4289170,6106098,0.4885944101913009,0.7475115447800608,False,1,5,3171136,3147830,0,3412656,3329374,0
8.413009,5478164,7501488,1.1319142159580873,1.328401806742301,False,1,5,3171136,3147830,0,3412656,3329374,0
9.467809,6483680,8741967,0.9532766005043662,1.176032608249949,False,1,5,3171136,3147830,0,3412656,3329374,0
10.519644,7717749,10184981,1.1732534708834426,1.3719015582057403,True,1,5,3205844,3181416,0,3455084,3366187,0
11.671082,8950979,11651786,1.0710341192055988,1.2738890565599021,False,1,5,3205844,3181416,0,3455084,3366187,0
12.726941,10145137,13062402,1.1309824276717286,1.3359889630958242,False,1,5,3205844,3181416,0,3455084,3366187,0
13.779369,11394617,14511998,1.1872360028260711,1.377383039946747,False,1,5,3205844,3181416,0,3455084,3366187,0
14.827309,12502537,15783704,1.0572360609413802,1.213529354209256,False,1,5,3205844,3181416,0,3455084,3366187,0
15.85976,13588466,17032043,1.0517973116122483,1.2091026247394836,False,1,5,3205844,3181416,0,3455084,3366187,0
16.901475,13822418,17531053,0.22458335552687983,0.4790270664130604,False,1,5,3205844,3181416,0,3455084,3366187,0
16.927498,13823264,17534775,0.032510232690507526,0.14302965256982153,True,1,5,3224184,3200639,0,3473284,3389481,0
