map,run,mode,experiment_profile,filter_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.27,5,5,0,0.371,True,241490,0,0.451,0.251,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed1_run1_full_guard_reroute_v7.json,7327,6070,1.272,-0.745,1.987,-26.606,24.025,-24.856,24.237,225.504,6.999,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14318.922897196262,19.604155140186915,12.389233177570093,7.213727780373832,1.188933593457944,,76.25635892603061,,21.368130041626316,4,432,,
seed1,2,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.27,5,5,0,0.485,True,241490,0,0.558,0.358,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed1_run2_full_guard_reroute_v7.json,9327,7650,1.178,-0.885,1.556,-27.432,24.025,-24.5,25.355,228.917,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13818.374100719424,19.395919904076738,12.123880719424461,7.270963069544364,1.2070039976019185,,61.46623809740629,,23.749320485321935,4,421,,
seed1,3,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,5,5,0,0.47,True,241490,0,0.563,0.363,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed1_run3_full_guard_reroute_v7.json,6490,5160,1.063,-0.979,1.432,-24.583,24.241,-24.411,25.462,222.907,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15746.492505353319,20.558387580299783,13.07890312633833,7.478231006423983,1.250338154175589,,91.28203727864941,,19.386883092013235,3,470,,
seed1,4,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,5,5,0,0.334,True,241490,0,0.398,0.198,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed1_run4_full_guard_reroute_v7.json,7710,6490,1.158,-0.873,1.719,-26.438,24.025,-25.567,25.333,224.327,7.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14018.706766917294,19.68534260651629,12.267417819548873,7.416707268170426,1.262608604010025,,72.97167049564335,,20.65588198781924,3,402,,
seed1,5,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.29,5,5,0,0.41,True,241490,0,0.475,0.275,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed1_run5_full_guard_reroute_v7.json,7729,6220,1.109,-0.918,2.092,-24.9,24.098,-24.944,25.123,227.34,6.999,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13671.506637168142,20.2027639380531,12.84190168141593,7.359767986725664,1.1661907300884957,,76.91695065763255,,20.648257680426784,3,455,,
seed2,1,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.55,5,5,0,0.467,True,241490,0,0.514,0.314,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed2_run1_full_guard_reroute_v7.json,8655,7690,1.051,-1.005,1.823,-26.868,24.025,-24.579,24.965,227.511,7.0,0.095,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14982.40625,19.579395673076924,12.409347235576924,7.168815096153846,1.2114925817307691,,64.76242031639892,,21.271761319434535,3,419,,
seed2,2,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.36,5,5,0,0.404,True,241490,0,0.503,0.303,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed2_run2_full_guard_reroute_v7.json,8136,7160,0.864,-0.874,1.681,-25.039,24.025,-25.603,24.762,221.746,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14726.6576819407,19.700416711590297,12.237648571428572,7.461690431266846,1.3193813962264151,,66.59292368741853,,22.36010817035469,3,374,,
seed2,3,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.18,5,5,0,0.489,True,241490,0,0.541,0.341,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed2_run3_full_guard_reroute_v7.json,7418,6350,1.045,-1.064,1.651,-25.988,24.025,-24.504,24.386,219.967,7.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15191.199460916441,20.269153908355793,12.68061156334232,7.587366226415094,1.351096603773585,,70.88331500600694,,23.2265182661333,4,375,,
seed2,4,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,5,5,0,0.475,True,241490,0,0.577,0.377,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed2_run4_full_guard_reroute_v7.json,7605,6460,0.913,-1.137,2.024,-24.629,24.025,-25.208,25.175,225.279,6.998,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14723.821808510638,20.159976861702127,12.571128164893617,7.5876365425531915,1.3362289680851063,,69.60721713376122,,22.961984916500327,3,379,,
seed2,5,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79,5,5,0,0.449,True,241490,0,0.528,0.328,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed2_run5_full_guard_reroute_v7.json,7477,6559,1.07,-1.036,1.419,-24.86,24.025,-24.279,24.978,222.754,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14789.844907407407,19.987705324074074,12.732982824074073,7.253558518518518,1.200702664351852,,73.869221179987,,,4,436,,
