seed,run,success,waypoints_reached,mission_time_s,contact_events,static_pcd_min_distance_m,reroute_arms,reroute_stalls,max_same_generation_planfromrest_rejects,max_same_generation_span_s
1,1,1,5,58.89,0,0.384,2,0,1,0.0
1,2,1,5,63.24,0,0.498,4,0,1,0.0
2,1,1,5,59.12,0,,1,0,1,0.0
2,2,1,5,64.70,0,,5,0,1,0.0
3,1,1,5,64.06,0,0.429,1,0,1,0.0
3,2,1,5,75.31,0,0.449,7,0,1,0.0
4,1,1,5,68.11,0,0.420,4,1,2,0.075
4,2,1,5,80.32,0,0.462,11,2,4,0.296
5,1,1,5,73.96,0,0.378,11,0,1,0.0
5,2,1,5,61.99,0,0.463,4,1,2,0.809
6,1,1,5,78.80,0,0.455,15,2,3,0.179
6,2,1,5,77.19,0,0.443,13,4,3,1.377
7,1,1,5,82.90,0,0.462,16,1,3,0.193
7,2,1,5,71.60,0,0.474,4,0,1,0.0
8,1,1,5,77.65,0,0.463,8,0,1,0.0
8,2,1,5,86.18,0,0.471,7,0,1,0.0
9,1,1,5,92.57,0,0.399,11,3,4,1.467
9,2,1,5,81.37,0,0.387,7,3,2,0.948
10,1,1,5,78.09,0,0.372,10,0,1,0.0
10,2,1,5,90.97,0,0.449,20,3,3,0.782
