x,y,r
-16.770,2.831,0.275
-8.323,6.651,0.275
8.046,-27.806,0.275
-31.157,21.598,0.275
-15.401,-17.003,0.275
31.721,-1.903,0.275
21.534,-1.513,0.275
8.900,-22.361,0.275
8.631,23.555,0.275
1.484,15.440,0.275
10.970,-27.902,0.275
16.527,5.830,0.275
-12.719,-30.015,0.275
23.394,-1.744,0.275
14.005,24.244,0.275
13.704,26.950,0.275
-6.722,19.258,0.275
-3.544,27.878,0.275
-23.298,-18.113,0.275
29.791,-4.086,0.275
8.105,-12.734,0.275
0.464,-7.305,0.275
-9.542,5.445,0.275
5.392,25.869,0.275
11.647,27.453,0.275
22.810,31.423,0.275
10.962,-21.562,0.275
23.081,29.737,0.275
25.901,4.423,0.275
13.684,-18.488,0.275
21.223,4.706,0.275
-13.763,-27.939,0.275
-26.335,19.238,0.275
-5.730,-22.351,0.275
-13.191,17.203,0.275
23.857,-29.172,0.275
13.980,-10.819,0.275
24.378,30.761,0.275
0.347,31.905,0.275
-12.181,-27.074,0.275
6.385,-29.992,0.275
-19.367,-5.892,0.275
7.070,-22.003,0.275
-29.284,23.538,0.275
-11.915,29.354,0.275
25.386,-7.821,0.275
9.209,6.122,0.275
3.793,7.688,0.275
28.200,0.450,0.275
-4.404,14.100,0.275
-16.791,-12.730,0.275
30.579,1.352,0.275
3.100,-31.267,0.275
-5.427,5.118,0.275
-30.717,7.411,0.275
8.150,-2.160,0.275
11.474,-9.435,0.275
13.245,15.234,0.275
-30.580,-28.123,0.275
11.265,29.652,0.275
-15.928,-2.796,0.275
5.931,-11.518,0.275
-8.707,-11.989,0.275
-12.774,-7.862,0.275
17.425,-30.277,0.275
4.433,15.051,0.275
-12.159,-17.758,0.275
19.444,-16.724,0.275
-20.007,-4.145,0.275
12.676,-25.482,0.275
-11.394,-10.640,0.275
21.346,-3.940,0.275
22.754,-21.166,0.275
-10.451,9.615,0.275
24.633,-3.129,0.275
-17.598,-24.261,0.275
1.896,-19.789,0.275
19.634,21.662,0.275
-20.250,-14.170,0.275
19.662,9.084,0.275
19.601,-9.902,0.275
-23.700,-13.316,0.275
18.807,-14.645,0.275
-9.833,-5.318,0.275
-5.135,-5.791,0.275
26.919,-22.016,0.275
-31.702,28.369,0.275
27.352,-17.786,0.275
15.713,21.549,0.275
10.431,1.217,0.275
-13.501,-10.172,0.275
-17.442,-27.644,0.275
5.675,-13.631,0.275
19.852,-29.115,0.275
25.831,12.397,0.275
27.127,25.380,0.275
-31.159,15.699,0.275
-21.003,-12.807,0.275
-5.520,28.099,0.275
7.178,-10.153,0.275
-15.842,23.147,0.275
-1.459,18.069,0.275
-9.482,-19.371,0.275
2.217,20.276,0.275
-21.037,18.667,0.275
26.993,19.587,0.275
20.704,-31.520,0.275
-28.804,-14.631,0.275
-14.810,1.745,0.275
-4.929,-1.734,0.275
17.696,-31.884,0.275
-28.491,-23.881,0.275
-24.024,-27.621,0.275
30.380,22.685,0.275
-26.488,0.136,0.275
5.543,-8.907,0.275
-19.771,-10.958,0.275
-24.080,3.554,0.275
13.827,-7.665,0.275
-26.886,-20.572,0.275
18.088,-7.663,0.275
-4.378,-8.165,0.275
-0.246,12.984,0.275
-5.087,12.424,0.275
-2.506,-16.315,0.275
2.294,12.491,0.275
-27.419,-4.807,0.275
-4.745,24.299,0.275
27.935,-8.049,0.275
25.463,18.619,0.275
-24.119,20.046,0.275
10.387,24.790,0.275
18.718,10.724,0.275
14.959,4.086,0.275
-25.399,5.617,0.275
-31.686,-22.815,0.275
24.350,-20.534,0.275
11.106,21.516,0.275
28.954,5.061,0.275
17.115,0.725,0.275
15.934,27.812,0.275
-28.087,-11.248,0.275
4.095,20.996,0.275
-16.504,-20.495,0.275
-16.002,7.423,0.275
16.227,-6.801,0.275
-8.482,-6.615,0.275
30.276,-5.579,0.275
15.834,-21.720,0.275
-1.042,9.149,0.275
-25.865,15.882,0.275
26.663,1.104,0.275
-19.252,5.480,0.275
-13.065,13.141,0.275
-5.555,22.633,0.275
-18.073,-30.520,0.275
-1.313,-7.504,0.275
-20.976,-8.930,0.275
-11.389,17.549,0.275
-22.809,31.438,0.275
-1.306,6.336,0.275
-2.045,21.415,0.275
22.826,-6.383,0.275
14.950,29.457,0.275
-16.974,13.932,0.275
22.648,-16.506,0.275
-20.020,13.103,0.275
-11.941,-4.909,0.275
14.654,-26.501,0.275
-26.071,21.371,0.275
5.139,11.232,0.275
-31.559,-10.573,0.275
29.142,-6.981,0.275
2.839,-24.373,0.275
-14.415,10.588,0.275
26.161,-25.798,0.275
17.435,16.469,0.275
9.861,19.588,0.275
-15.002,16.268,0.275
29.525,11.061,0.275
-0.392,-9.462,0.275
13.958,11.427,0.275
4.249,-20.353,0.275
9.323,8.377,0.275
-20.537,24.955,0.275
9.944,-24.120,0.275
-10.782,14.111,0.275
6.236,3.515,0.275
-12.004,-20.712,0.275
-27.610,13.813,0.275
16.287,2.761,0.275
15.337,-9.010,0.275
-14.986,-7.464,0.275
0.302,-16.179,0.275
17.210,-9.337,0.275
2.656,17.389,0.275
-9.415,22.201,0.275
-24.824,-14.689,0.275
17.855,14.547,0.275
-20.170,-19.893,0.275
-5.334,15.572,0.275
20.208,15.917,0.275
-6.501,-19.607,0.275
1.766,4.376,0.275
-19.067,-15.990,0.275
19.402,25.037,0.275
3.367,5.316,0.275
8.553,30.527,0.275
11.944,-12.838,0.275
6.487,14.517,0.275
-31.848,17.309,0.275
10.364,-0.520,0.275
-19.620,1.891,0.275
-29.628,0.029,0.275
9.341,-3.570,0.275
4.224,29.377,0.275
-28.761,-8.966,0.275
2.488,27.509,0.275
-11.320,23.713,0.275
12.458,-23.401,0.275
22.931,6.472,0.275
27.326,13.821,0.275
19.628,27.631,0.275
23.133,-4.030,0.275
16.438,-0.960,0.275
-25.016,-29.267,0.275
-21.707,-0.183,0.275
12.754,2.396,0.275
-4.985,9.552,0.275
-12.502,-2.278,0.275
-8.258,1.877,0.275
6.174,-17.674,0.275
-31.827,-18.624,0.275
18.124,-22.817,0.275
-2.561,-19.501,0.275
-18.606,-21.071,0.275
-30.241,-24.956,0.275
-28.178,-30.565,0.275
-3.327,-5.904,0.275
13.020,-28.729,0.275
-30.294,29.794,0.275
-17.990,-25.967,0.275
-1.626,-21.455,0.275
14.571,-14.394,0.275
18.422,-2.214,0.275
27.707,-12.765,0.275
-16.002,-14.988,0.275
-9.937,-26.002,0.275
5.904,-31.766,0.275
-21.099,-29.657,0.275
-28.548,9.876,0.275
25.619,-19.156,0.275
28.166,-29.810,0.275
-12.498,6.844,0.275
28.579,-26.382,0.275
-13.220,22.394,0.275
-24.661,-7.049,0.275
-10.612,11.523,0.275
15.347,14.973,0.275
-5.458,-17.318,0.275
-14.755,-21.136,0.275
14.120,6.765,0.275
13.485,-30.531,0.275
-2.117,16.541,0.275
25.401,14.903,0.275
-10.642,-8.314,0.275
-27.388,-6.443,0.275
4.409,-24.952,0.275
-26.823,9.545,0.275
-22.229,9.252,0.275
-17.285,29.904,0.275
-17.915,3.997,0.275
-5.144,17.993,0.275
6.679,18.473,0.275
-20.633,-26.936,0.275
20.833,-24.798,0.275
-26.511,-2.225,0.275
-17.744,21.086,0.275
7.387,9.076,0.275
16.730,23.789,0.275
-3.482,-24.900,0.275
20.147,-18.817,0.275
2.508,-2.293,0.275
-9.846,-0.989,0.275
-27.422,3.373,0.275
15.060,-4.937,0.275
-18.293,-9.565,0.275
31.728,-10.547,0.275
-4.427,-26.612,0.275
7.177,27.606,0.275
2.286,-5.201,0.275
28.675,25.798,0.275
28.775,-1.012,0.275
31.827,26.900,0.275
-13.309,27.789,0.275
1.245,8.912,0.275
-29.404,15.692,0.275
-14.337,-4.327,0.275
-9.934,15.494,0.275
-25.385,-12.843,0.275
-22.194,16.815,0.275
12.827,30.490,0.275
-8.155,-21.674,0.275
-23.585,1.975,0.275
2.294,-21.393,0.275
-28.783,-18.948,0.275
30.675,18.274,0.275
30.671,-29.752,0.275
-20.157,-31.156,0.275
-4.329,-10.351,0.275
-16.177,19.336,0.275
-5.234,-15.337,0.275
-29.184,-4.508,0.275
8.159,11.214,0.275
-16.168,-23.317,0.275
16.532,18.528,0.275
0.565,21.184,0.275
3.319,-14.106,0.275
25.994,-2.081,0.275
20.097,6.569,0.275
-5.477,1.178,0.275
-9.478,-2.887,0.275
29.393,-22.060,0.275
-11.846,1.408,0.275
-0.794,-14.090,0.275
-25.443,10.796,0.275
25.325,29.461,0.275
9.187,-19.514,0.275
26.925,-20.408,0.275
-7.469,21.003,0.275
-11.763,-14.663,0.275
28.794,28.403,0.275
-13.955,-23.583,0.275
-26.927,-17.296,0.275
21.650,8.391,0.275
-13.939,29.515,0.275
2.952,-28.983,0.275
-20.614,31.540,0.275
11.174,9.404,0.275
-19.866,20.652,0.275
-7.527,-25.148,0.275
-7.049,31.201,0.275
-9.445,26.558,0.275
28.116,31.802,0.275
30.715,-16.259,0.275
-9.320,28.854,0.275
18.044,4.408,0.275
-2.300,2.440,0.275
-19.049,-28.604,0.275
-31.109,23.666,0.275
18.817,31.460,0.275
17.026,-26.078,0.275
-22.634,6.425,0.275
-3.014,-1.417,0.275
2.012,23.994,0.275
-3.740,7.539,0.275
22.239,17.754,0.275
-6.463,-8.157,0.275
5.403,-22.643,0.275
26.435,-3.751,0.275
-1.577,24.979,0.275
-13.648,-19.846,0.275
-26.570,-30.205,0.275
-9.519,-31.521,0.275
21.276,-20.246,0.275
0.750,-4.330,0.275
30.663,12.238,0.275
16.229,31.474,0.275
-1.284,-4.985,0.275
25.242,20.895,0.275
-12.892,25.590,0.275
17.197,26.237,0.275
22.883,15.232,0.275
-4.299,-12.026,0.275
28.009,-24.337,0.275
26.469,-6.583,0.275
21.313,-28.352,0.275
-20.632,-15.955,0.275
-15.145,12.424,0.275
-17.893,-3.701,0.275
4.150,-16.289,0.275
10.932,6.999,0.275
-20.751,16.068,0.275
-6.769,2.530,0.275
-3.690,-28.417,0.275
18.349,23.016,0.275
-14.818,25.515,0.275
